Name,Status,Tenant,Site,Location,Rack,Role,Manufacturer,Type,IP Address,ID,Tenant Group,Platform,Serial number,Asset tag,Region,Site Group,Parent Device,Position (Device Bay),Position,Rack face,Latitude,Longitude,Airflow,IPv4 Address,IPv6 Address,OOB IP,Cluster,Virtual Chassis,VC Position,VC Priority,Description,Config Template,Comments,Contacts,Tags,Created,Last updated,Console ports,Console server ports,Power ports,Power outlets,Interfaces,Front ports,Rear ports,Device bays,Module bays,Inventory items
p2r1v,Active,,ISP2SITE1,LOCATION2,ISP2LOC2RACK1,router,VyOS,vyos-qemu-4TE,,1,,vyos,101,,REGION1,SITEGROUP1,,,30,Front,,,,,,,,,,,,,,,ISP2,2024-03-10 12:07,2024-03-10 12:12,0,0,0,0,0,0,0,0,0,0
p2r2v,Active,,ISP2SITE1,LOCATION2,ISP2LOC2RACK1,router,VyOS,vyos-qemu-4TE,,2,,vyos,,,REGION1,SITEGROUP1,,,27,Front,,,,,,,,,,,,,,,,2024-03-10 12:14,2024-03-10 12:14,0,0,0,0,5,0,0,0,0,0
p2r3v,Active,,ISP2SITE1,LOCATION2,ISP2LOC2RACK1,router,VyOS,vyos-qemu-4TE,,3,,vyos,,,REGION1,SITEGROUP1,,,24,Front,,,,,,,,,,,,,,,,2024-03-10 12:15,2024-03-10 12:15,0,0,0,0,5,0,0,0,0,0
p2r4v,Active,,ISP2SITE1,LOCATION2,ISP2LOC2RACK1,router,VyOS,vyos-qemu-4TE,,4,,vyos,,,REGION1,SITEGROUP1,,,21,Front,,,,,,,,,,,,,,,,2024-03-10 12:15,2024-03-10 12:15,0,0,0,0,5,0,0,0,0,0
p2r5v,Active,,ISP2SITE1,LOCATION2,ISP2LOC2RACK1,router,VyOS,vyos-qemu-4TE,,5,,vyos,,,REGION1,SITEGROUP1,,,18,Front,,,,,,,,,,,,,,,,2024-03-10 12:16,2024-03-10 12:16,0,0,0,0,5,0,0,0,0,0
p2r6v,Active,,ISP2SITE1,LOCATION2,ISP2LOC2RACK1,router,VyOS,vyos-qemu-4TE,,6,,vyos,,,REGION1,SITEGROUP1,,,15,Front,,,,,,,,,,,,,,,,2024-03-10 12:16,2024-03-10 12:16,0,0,0,0,5,0,0,0,0,0
p2r7v,Active,,ISP2SITE1,LOCATION2,ISP2LOC2RACK1,router,VyOS,vyos-qemu-4TE,,7,,vyos,,,REGION1,SITEGROUP1,,,12,Front,,,,,,,,,,,,,,,,2024-03-10 12:17,2024-03-10 12:17,0,0,0,0,5,0,0,0,0,0
p2r8v,Active,,ISP2SITE1,LOCATION2,ISP2LOC2RACK1,router,VyOS,vyos-qemu-4TE,,8,,vyos,,,REGION1,SITEGROUP1,,,9,Front,,,,,,,,,,,,,,,,2024-03-10 12:17,2024-03-10 12:17,0,0,0,0,5,0,0,0,0,0
