Name,Status,Tenant,Site,Location,Rack,Role,Manufacturer,Type,IP Address,ID,Tenant Group,Platform,Serial number,Asset tag,Region,Site Group,Parent Device,Position (Device Bay),Position,Rack face,Latitude,Longitude,Airflow,IPv4 Address,IPv6 Address,OOB IP,Cluster,Virtual Chassis,VC Position,VC Priority,Description,Config Template,Comments,Contacts,Tags,Created,Last updated,Console ports,Console server ports,Power ports,Power outlets,Interfaces,Front ports,Rear ports,Device bays,Module bays,Inventory items
p1r1v,Active,,ISP1SITE1,LOCATION1,ISP1LOC1RACK1,router,VyOS,vyos-qemu-4TE,,1,,vyos,101,,REGION1,SITEGROUP1,,,30,Front,,,,,,,,,,,,,,,ISP1,2024-03-10 12:07,2024-03-10 12:12,0,0,0,0,0,0,0,0,0,0
p1r2v,Active,,ISP1SITE1,LOCATION1,ISP1LOC1RACK1,router,VyOS,vyos-qemu-4TE,,2,,vyos,,,REGION1,SITEGROUP1,,,27,Front,,,,,,,,,,,,,,,,2024-03-10 12:14,2024-03-10 12:14,0,0,0,0,5,0,0,0,0,0
p1r3v,Active,,ISP1SITE1,LOCATION1,ISP1LOC1RACK1,router,VyOS,vyos-qemu-4TE,,3,,vyos,,,REGION1,SITEGROUP1,,,24,Front,,,,,,,,,,,,,,,,2024-03-10 12:15,2024-03-10 12:15,0,0,0,0,5,0,0,0,0,0
p1r4v,Active,,ISP1SITE1,LOCATION1,ISP1LOC1RACK1,router,VyOS,vyos-qemu-4TE,,4,,vyos,,,REGION1,SITEGROUP1,,,21,Front,,,,,,,,,,,,,,,,2024-03-10 12:15,2024-03-10 12:15,0,0,0,0,5,0,0,0,0,0
p1r5v,Active,,ISP1SITE1,LOCATION1,ISP1LOC1RACK1,router,VyOS,vyos-qemu-4TE,,5,,vyos,,,REGION1,SITEGROUP1,,,18,Front,,,,,,,,,,,,,,,,2024-03-10 12:16,2024-03-10 12:16,0,0,0,0,5,0,0,0,0,0
p1r6v,Active,,ISP1SITE1,LOCATION1,ISP1LOC1RACK1,router,VyOS,vyos-qemu-4TE,,6,,vyos,,,REGION1,SITEGROUP1,,,15,Front,,,,,,,,,,,,,,,,2024-03-10 12:16,2024-03-10 12:16,0,0,0,0,5,0,0,0,0,0
p1r7v,Active,,ISP1SITE1,LOCATION1,ISP1LOC1RACK1,router,VyOS,vyos-qemu-4TE,,7,,vyos,,,REGION1,SITEGROUP1,,,12,Front,,,,,,,,,,,,,,,,2024-03-10 12:17,2024-03-10 12:17,0,0,0,0,5,0,0,0,0,0
p1r8v,Active,,ISP1SITE1,LOCATION1,ISP1LOC1RACK1,router,VyOS,vyos-qemu-4TE,,8,,vyos,,,REGION1,SITEGROUP1,,,9,Front,,,,,,,,,,,,,,,,2024-03-10 12:17,2024-03-10 12:17,0,0,0,0,5,0,0,0,0,0
